Tip,Paylaþým
Pozitif,kýbrýs þehitleri dominik caddesi ni yayalar birleþtirdik yaya geçidi üzerine zmir in tarihi köklerinden gelen figüratif desenler iþlendi pasaport un dalgalý kaldýrýmý bergama kilim halýlarýnýn eli belinde motifleri talatpaþa meydanýna yakýþtý 
Pozitif,tugay turan hocamýz güzel þekilde emek vererek akademide yardýmcý araçlarý biraraya getirdiði bir bilgisel hazýrlamýþ teþekkür ederim lerine zihnine saðlýk tugay hocam 
Pozitif,sýnavda elde edeceðiniz puan dilimine göre diploma notunuzun yaklaþýk kaç olmasý gerekir yerleþtirme sýrasýnda geriye düþme riskini ortadan kaldýrasýnýz 
Pozitif,kiþisel verileri koruma kurulu sosyal medya uygulamasý tiktok hakkýnda veri güvenliði açýðý dialarý üzerine inceleme baþlattý 
Pozitif,umblikal kord göbek baðý iki atardamar bir toplardamardan oluþuyor rahim içinde bebeðin ihtiyaçlarý kordonla saðlanýyor 
Pozitif,kütüphanemizdeki kitaplarýn tam ekran fotoðrafýný yorum olarak atan kiþiye çekiliþle görseldeki seti hediye ediyoruz 
Pozitif,ülkenin tarafýnda topraklar iþleniyor sonbahara fidan dikimine hazýrlýk yapýlýyor erozyon nedeniyle tek bir gram topraðýmýz kaybolmasýn orman teþkilatý çalýþýyor yýl sonra daða yazýlan ogm yazýsýný görürseniz aðaçlarý kesip ogm yazmýþlar demeyin sakýn 
Pozitif,sýzýntýyla ortaya çýkan görsellerin grafik detaylarý kötüydü oyunculardan gelen tepkileri dinleyen firma oyun üzerine fazla çalýþacaklarýný iyi görslikle döneceklerinin altýný çizdi 
Pozitif,sýcak yaz günlerinde vatandaþlarýmýzý sokak hayvanlarý kapýlarýnýn önlerine bir kap su koymaya davet ediyoruz 
Pozitif,þartlar uygun ben deðilim 
Pozitif,tam pencere önünde televizyon karþýsýnda yarým saat uyuyakalmalýk hava var an 
Pozitif,þuan aklýmýza gelen ilk þarkýyý yazalým bakalým neler çýkacak 
Negatif,siksokçular anlýk 
Pozitif,hayatýmda gördüðüm güzel haberlerdne birisi azýndan artýk instagramda cemre solmaz azra gül yaren enes batur vs görmeyeceðim 
Pozitif,hepsini kapatýn bütün toplumun ahlakýný bozdular 
Negatif,akp li oyuncunun ikiyüzlülüðü 
Pozitif,teþekkürler geri bildirim bekliyoruz halde ahhütü takip edeceðim ara ara size hatýrlatacaðým 
Pozitif,hastaneye yetiþemeyen kadýnýn otoparkta ebe yardýmýyla doðum yaptýðý anlar 
Pozitif,birisi tarafýndan delice sevilmek size güç verir birisini delice sevmek cesaret 
Negatif,koyun dedikleri tarafýndan senedir yönetilen koyun kadar aklý olmayan bir kesim var ülkede 
Pozitif,büyük cesaret helal olsun 
Pozitif,patlamanýn yaþandýðý bölgeye yakýn yerleþim yerlerindeki insanlarýn evlerine girip kapý pencerelerini kapa 
Pozitif,hayatta kalabilmek para uðruna insanlar nerelerde canlarýný hic sayarak çalýþýyor lah yardýmcýlarý olsun 
Pozitif,allahým sen yaralýlara ailelerine yardým et 
Pozitif,geçmiþ olsun umarým kimsenin caný yanmamiþtir 
Pozitif,havai fiþek fabrikasý patlamýþ rabbim içerideki çalýþanlarýn canýný korusun inþlah 
Pozitif,patlama sesi korkunçtu sakarya sesi duydu sarsýntýyý hissti atom bombasý bir etki yarattý 
Pozitif,can kaybý olmamasý tek temennim 
Pozitif,sakarya nýn hendek ilçesinde havai fiþek fabrikasýnýn patlamasýnda can kaybýnýn olmamasýný temenni ediyorum 
Pozitif,sakarya havai fiþek fabrikasýnda patlama çeride kiþi var 
Pozitif,umuyoruz tek bir canýmýzýn dahi burnu kanamaz 
Negatif,sorumlu herkesin caný cehnneme 
Negatif,sen olarak dünyaya gelmediðimiz þükrettik bugün 
Negatif,sey degil mi herkese ahlak bekciligi yapip ahlak bekciligi yaptigi insanlardan kat ahlaksiz hareketler yapan kiþi 
Negatif,neyse gidip yuvasýný yýktýðým adamla öpüþeyim 
Negatif,sey degil mi herkese ahlak bekciligi yapip ahlak bekciligi yaptigi insanlardan kat ahlaksiz hareketler yapan insan 
Negatif,herkes ece erken laf söylüyor ahlak bekçiliði yapan ahlaksýz sizin yaptýðýnýz an siktir etsenize böyle insanlarý 
Negatif,adam boþanýr boþanmaz tekne turlarýnda fink atan yalandan ayrýlmýþ numarasý yapan utanmazlar 
Negatif,tek kelime rezilsin 
Negatif,ekrandan herkese ahlak bekçiliði yapan ahlaksýz 
Pozitif,kime isterse gitsin istiyorsa yapsýn konuþmaya deðecek baþka bir þeyiniz yok 
Negatif,ece erken sevgilisi su altýnda saman yürütmüþ bea 
Pozitif,yorumlarý yazanlara merak ettiðim soruyorum ahlaksýz olan bir tek baþkasýnýn suçu yok 
Negatif,kadýn aðlayarak malý götürenlere güzel örnek 
Negatif,annen baban seni büyütüyor yedirip içiriyor kadar emekten sonra sen ahlaksýz oluyorsun tivit kadar 
Pozitif,kadar çaliþirsak kadar iyi 
Negatif,ahlak bekçileri size 
Pozitif,stediði yaþar hayatýný olumlu olumsuz sonuçlarý kendisi yaþayacak 
Negatif,insan kadar çirkinleþebilirin örneði buyrun 
Negatif,ee boþuna dememiþler ahlak bekçiliði yapýyorsa ahlaksýz odur 
Negatif,adamda tip desen yok fizik desen yok adamýn neyini sevdin 
Negatif,türkiye nin gelmiþ geçmiþ büyük eskortusun 
Negatif,utanmazlar 
Negatif,milletin dedikodusunu yaparken paranýn dibine vurmasýný biliyordunuz mletin ahlak bekçiliðini yapmasýný biliyosunuz 
Negatif,insan kadar çirkinleþebilir 
Negatif,ece erken önyargýlý davranýp onu sevmiyorsunuz oysa tanýsanýz nefret edersiniz 
Negatif,namustan söz ediyorsa namussuzu dur 
Negatif,yuva yýkýp bir aileyi daðýtan kadýn 
Negatif,cahil alt kültür adam 
Negatif,ünlü kadýnlar yuva yýkar hayretbiþey arkadaþ normal bir ünlü 
Negatif,aq midesizsiniz 
Pozitif,vazgeçtim inan kendimden çoktan 
Pozitif,gömülen gömülene unutulan unutulana kayýplara karýþan karýþana 
Pozitif,yaþ kaç olursa olsun sözün sesin kalemin yüreðime dokunur 
Pozitif,zamanýnda severek dinledim 
Pozitif,sago benim dilsiz kalbime dil dikenli yollarýmdaki çicek anlatmaya çalýþmadýklarýma kelimelersin sagopakajmer brnbzkt bernik 
Pozitif,uçur beni rüzg toz taneleri burdan uzaða doðru 
Pozitif,benim gözlerimden bak dünyaya 
Pozitif,bugünüm yarýným bi yaným karambolde 
Pozitif,beni mutlu edecek 
Pozitif,mektupu al derdimi gör 
Pozitif,halini sor er geç yollar bir 
Pozitif,ah zaman ahir 
Pozitif,þuraya girince kendimi tutamayýp tweetleri beðeniyorum 
Pozitif,oysa istemez gün ilkbahar günü 
Pozitif,þiirler yazmak izleyip kýrmýzý gülü 
Pozitif,galiba bütün olanlara dayanamam hazýrýmm 
Pozitif,sen giderken adýmlarýný sayarým heyhat 
Pozitif,uzuyor uzadýkça bitmiyor bitse sevimsiz akþamlar 
Pozitif,huzur özür dilemeli bana uðramadýðý gün 
Pozitif,uçur beni rüzgar 
Negatif,sana küfür ederim 
Pozitif,bizi saten sonra mutlu edecek tek konseridir 
Pozitif,kah çýkarým gök yüzüne içerim saki yi kah inerim yer yüzüne çekerim zikrimi 
Pozitif,fadeler sözlerden seslidir sago sessizlerin sesidir 
Pozitif,güvendiðim daðlara kar yaðýyor 
Pozitif,mutlu oldum 
Pozitif,sal yaralý balýklarý gitsin misina artýk gergin 
Pozitif,ster istemez þeyim sende rehin 
Pozitif,yanlýþ bir kar 
Pozitif,seviyorum 
Negatif,utanmadan konuþuyor þerefsiz 
Pozitif,satýlýk herif 
Pozitif,çim hasret yeri küheylan kaldý bi kemik bir deri 
Negatif,katil kimsesiz gariban bir canýn caný alan zalim 
Negatif,yazýklar olsun olsun senin insana 
Negatif,allah belaný versin umarým þekilde can verirsin 
Negatif,kaltak tutuklansýn 
Negatif,kendinden utan þerefsiz 
Negatif,insan olamamýþ bir mahluk 
Negatif,allah belanýzý versin 
Negatif,sözde akademisyenin ahlaksýz vicddansýz 
Negatif,arabanýn arkasýna baðlayýp sürükleyeceksin sonra kemiklerini kýrýp yatalak edeceksin 
Negatif,hatta insan bile deðil 
Negatif,sen vahþi bi yaratýksýn 
Negatif,pis suratsýz 
Negatif,sen okumuþ barbarsýn 
Negatif,çoluðun çocuðun ezilsin senin 
Negatif,sen bir katilsin þerefsiz haysiyetsizsin 
Negatif,haysiyetsiz iðrenç mahluk 
Negatif,vicdansýz allah senin belaný versin 
Negatif,allah ýn belasý insan müsvdesi 
Negatif,sen insan olamazsýn 
Negatif,sosyal medyadan çevresinden gelecek türlü linci hakediyor 
Negatif,hayvan katili 
Negatif,allah belaný versin vicdansýz 
Negatif,bunu yazan þerefsizler kaçacak 
Pozitif,bugün birkez gurur duyuyorum fenerbahçe li oldugum 
Negatif,bela musibetsin 
Negatif,türk futbolunun foseptik çukurlarýnýn þikeden dolup patladýðý gün 
Pozitif,yýkmaya gücünüz yýkýldýðýmýzý görmeye ömrünüz yetmez 
Pozitif,onurla gururla þampiyon fenerbahçe 
Negatif,sen fetö nün büyük destekcisisin 
Pozitif,zaman olduðu dik durdu hainlerin onu hedef almalarýna raðmen yýkýlmadý 
Pozitif,aþkýnla sevginle bizler delirdik uðrun ölmeye yeminler ettik cefalar çektik canlar verdik 
Negatif,ftiracý namussuz 
Pozitif,mutlu size 
Negatif,sana deniyor hamsi hýrsýzlýk yapmadan ziyaret bedava 
Pozitif,unutmadýk unutturmayacaðýz 
Pozitif,yýkmaya gücünüz yetmez 
Negatif,sen yüzle bir baþkasýný eleþtiriyorsun 
Negatif,sen katilsin namussuz 
Pozitif,rabb im saðlýk shat uzun ömürler versin inþallah 
Pozitif,cumamiz mübarek olsun 
Negatif,sizin yalanlarýnýz sizin montajlarýný bitmez 
Pozitif,yi varsýn baþkaným 
Pozitif,nanin görüntüleri unutmuþum 
Pozitif,olay 
Pozitif,nsan gün yaþanan olaylarý görüp bildikçe canlýnýn acýsýný acýsý ettikçe mutlu bir hayat arzu etsin 
Negatif,söylesene þunlarý be 
Negatif,kendi kazdýðý kuyuya kendi düþen enayiler 
Negatif,oðlu eþi oldugu belli olmayan erdal çomarý 
Negatif,erdalcým boku kürekle yedin 
Negatif,fena sýçtýn 
Pozitif,kadýn kendini ispatlamýþ mükemmel bir insan zaten sizin derdiniz baþka 
Negatif,ayaðýna sýkacaðý na kafasýna sýk 
Pozitif,kadýna gün biraz hayran oluyorum 
Negatif,halkýn diktatörü 
Negatif,ayaðýna sýkan bi salakta sensin 
Pozitif,sen müge anlýyla uðraþabilirmisin müge anlý la 
Pozitif,telefonun incelenmeyeceðini mi sanýyorsun 
Pozitif,bence sonuna geldin 
Negatif,artýk þaban dayýn kurtaramayacak seni dallama 
Pozitif,allah fetsin seni 
Negatif,üremesi yasaklanmalý hastalýklý genleri dünyaya saçmasýnýn önüne geçilmeli 
Negatif,sözde müslüman haysiyetsiz 
Pozitif,ayþe asgari ücretle geçen yýl kg et alýyorduk 
Pozitif,nanmýyor musunuz 
Pozitif,hesap ortada aþaðýda 
Pozitif,hadi verelim mehteri 
Pozitif,otomobil fiyatlarý uçmuþ 
Pozitif,konut fiyatlarý tavan yapmýþ 
Pozitif,bilet fiyatlarý katlanmýþ 
Pozitif,ðneden ipliðe zamlanmýþ 
Negatif,facebook profili þerefsizin 
Negatif,hayasýzlar telefon numarasýný bile vermiþ 
Negatif,cahil bir kadýnsýn 
Negatif,çomar piç seni 
Negatif,yazýklar olsun aþþaðýlýk yaratýk 
Negatif,acýlar içinde gebermeni dilerim 
Negatif,ölmek yalvar iblisin oðlu 
Negatif,kafana sýkýcam senin 
Negatif,öldürücem seni 
Negatif,tecavüz edilmeyi hakediyosun 
Pozitif,þirketimizde yeni bir hizmet vermeye baþlayacaz hizmet adý gtü bilmüh ödev projeleri yapýlýr 
Pozitif,göktürk göre domatesler parka gidebilir tavuklar oruç tutabilir 
Pozitif,arasý enflasyon seviyesi önemli bir eþik mücadele edemezsek týpký önce gördüðümüz hýzla yükselir atalet inertia 
Pozitif,ay önce suriyeli mültecileri göndermekle tehdit ettiðimiz avrupa bize turist göndermesi sýnýrlarý açmasý bakan gönderiyoruz þte öngörü iþte vizyon 
Pozitif,dostlar bin oluþumuza özel resimdeki gördüðünüz pikap toplam takipçimize hediye edeceðiz yapmanýz gereken tek tiviti beðenip yoruma arkadaþýnýzý etiketlemek herkese bol þans 
Negatif,sen ibne misin 
Pozitif,flört ettiklerini bildiðim iki arkadaþýmdan erkek olan konuþuyormuþ sohbeti yarýda býrakýyormuþ falan kýz rica ti bir yoklar mýsýn sordum bende çocuk diyor kýzýn kafa zehir beni öyle sanýyo muhabbet ilerlerse durumu fark eder 
Negatif,instagram açtýðým karþýma bikinili bir kadýn çýktý utanmazlar 
Pozitif,önce google gaz fren sað sol aramasý yaptým saðýnýzý solunuzu bilmemek acý 
Negatif,babanýnn düþmanýna sýçayým 
Pozitif,çevre doða hayvan koruma þube müdürlüðü kuruldu 
Pozitif,afrikada bir þehir adý aydýn 
Pozitif,adamýn yaptýðý büyük bir olay gerçekten ülke yine büyük bir utanç 
Negatif,toplumu geriyosunuz þerefsizler bataklar 
Pozitif,evde herkes tatil bavulu yapýyor ben ödev yapýyorum 
Pozitif,fenerbahçe baþkaný ali koç un mahkemeye verdiði bey nýn final kýsmý 
Pozitif,barcelona mutsuz olan lionel messi yeni sözleþme görüþmelerini durdurdu 
Pozitif,ozan güven in ifadesini okudum feridun abi yi ararken mantýklý þeyler söylemiþti 
Pozitif,aþýrý iyi 
Negatif,günün deðil asrýn oçu 
Negatif,orospu evladý seni 
Negatif,þerefsiz orospu çocuðu 
Negatif,kadar beyinsiz bir insansýn sen 
Negatif,örgütlü þerefsizliktir 
Negatif,olamaz orospu çocuðu 
Negatif,orospuçocuðu ananý sikeyim vatan haini sülalenisikeyim vatanhaini alman köpeði sizin müslümanlýðýnýz küfürü utanmadan ediyorsunuz allah diyorsunuz lahtan korkmuyorsunuz sizlerle hesaplaþmak cehenneme gitmek istiyorum sizi ancak orada bulurum 
Negatif,orospu çocuðu senin beni üzmeye hakkýn var 
Negatif,nsan deðilsin orospu çocuðu 
Negatif,gün geçmiyor memelektte yeni bir orospu çocuðu görmeyelim 
Negatif,havaþ senin tekrar amk 
Negatif,günaydýn remini senin amk 
Negatif,kahpe zehra kusura bakma hýzýmý alamýyorum senin ben amk 
Negatif,kaþar aðýr küfürleri hak ediyor 
Negatif,yavþak melikþah sende sattýn bizi senin ben amk 
Negatif,senin kafaný sikeyim 
Negatif,senin ben amk 
Negatif,amk un denyosu bir þeyi içi boþ kafana sok sus 
Negatif,amk dengesizi burda meydan okumaya çýktý senin olmayan beynini sikeyim 
Negatif,senin ben tipini sikeyim amk balonu 
Negatif,senin beynin yok amk malý beynin 
Negatif,saat çalýþ bakýrköy sahilde sabahla amk senin 
Negatif,hasiktir lan dalyarrak 
Negatif,senin baþkaldýrýna sokayým 
Negatif,çirkin bi tipin var senin 
Negatif,babama senin kýzý bizim oðlana alalým diyen emmi senin amk 
Negatif,hay senin olmayan beynine köpek iþesin amk 
Negatif,amk sercaný keline sýçayým senin 
Negatif,kusura bakma senin ben amk artik yeter 
Negatif,bunlarý görüyorsan senin amk 
Negatif,senin aklý sikiyim ben 
Negatif,yaþamaya deðmezsin git öldür kendini cidden 
Negatif,senin aðzýna sýçim 
Negatif,senin ben amk 
Negatif,mabel matiz senin amk 
Negatif,yalancý sahtekar dallama 
Negatif,çomar orospu evlatlarý yine kudurmuþ 
Negatif,sevmeyen siktirsin gitsin 
Negatif,çomar orospu evlatlarý zaman tükenecek ülkede 
Negatif,çomar piç 
Negatif,senin aklýn yok fikrin var çomar 
Negatif,zoruna gitti çomar 
Negatif,amk cocugu boyle salak terimler kullaniyo 
Pozitif,fakiriz salak degiliz 
Pozitif,bende salak gözümü falan kaçýrýyorum malmýþým be 
Pozitif,muazzam deðil mi seni salak yerine koyuyorlar sen þeyin farkýndasýn 
Pozitif,gençler yaþlýlarýn aptal olduðunu düþünür yaþlýlar gençlerin aptal olduðunu bilir 
Pozitif,birimiz aptal yada saf deðiliz sadece susuyor görmezden geliyoruz 
Negatif,hayatýmda gördüðüm aptal kiþi 
Negatif,aptal evladý 
Negatif,tanýþtýrayým adi þerefsiz namussuz 
Pozitif,alçakça yapýlan ahlaksýz þerefsiz namussuz paylaþýmlarý lanetliyorum 
Negatif,bunlar þerefsiz haysiyetsiz namussuz 
Negatif,onun bunun çocuklarýsýnýz 
Negatif,sizi gidi yunan kerhanesi çocuklarý 
Negatif,þerefsiz namussuz adama iyi bakýn 
Negatif,gerçeðin savunucusuyuz gizlenmek bir derdimiz esasýnda yok namussuz haysiyetsiz þerefsiz bir güruhla karþý karþýya iken 
Negatif,demek aðlatmak suretiyle cima etsek neler çýkacak ortaya vay amk 
Negatif,exatlon aq 
Pozitif,exatlon þuan çekiliyor olsaydý acun takýmlarý eþitlemek beyaz takýma berkaný transfer ederdi sonra siyahlar oyun kazanamazdý 
Pozitif,old youtuber tayfayý olduklarýný bilmediði çöp kategorisine koyanlar yormayýn 
Pozitif,tanýdýklarým bir elin parmaðýný geçmez olaya bak 
Pozitif,doðanýn dilaranýn bacaklarýndan kýl var demesi cnrkxkemck sonrasýnda kýsa bi bakýþma 
Pozitif,elanur yürüme koþ koþ 
Negatif,hiçbirini tanýmýyorum bazýlarý mal 
Pozitif,acun yaptýðýn programa dünyanýn zor yarýþmasý diyorsun 
Pozitif,bi karar ver artýk kanka deli olacaksýn yakýnda 
Pozitif,exatlon parkuru survivor parkurlarýndan güzel 
Pozitif,yakýþýklý oldugunuz kadar vay anasýný avradanýsýnýzda furkan bey 
Negatif,gizem hortlak mýsýn yerden çýkýyon mk 
Pozitif,gözümüzü gönlümüzü açtýn allah razý olsun 
Pozitif,uzun zamandýr bekliyordum 
Pozitif,siyah takýmýn kazanmasýný böyle izliyorum 
Pozitif,zor durumdayým kiramý ödeyemedim evim kötü durumda 
Pozitif,exatlon daki cezalar kötü lan 
Pozitif,orkun kusura bakma bok sunmuþsun 
Pozitif,orkun ýþýtmak isimleri sosyal medyadan iyi tanýyorsunuz 
Negatif,kýz öldü amk afafsg 
Pozitif,orkun þuan yanýyorsun diyor 
Negatif,exatlon futkan okum cenabet mi gittin oralara bi insanýn cezada baþýna bi mi gelir tam bir ergen ibne 
Pozitif,ayný kiþi mi bunlar 
Pozitif,izlemedim izlemek bir niyetimde yok sene survivor bana yetti exatlon hic cekemem 
Negatif,gözde inþallah diskalifiye olursun 
Pozitif,yaðmur baya iyi lan hayran kaldým kadýna 
Pozitif,gözde nýn hýrsýna aþýk oldum 
Pozitif,survivor kadar kurgu algýdan gýna gelmiþken exatlon izlemek 
Pozitif,elanin kiminle hazýrlandýðý açýklanmýþ 
Pozitif,öykü berkan bir instagram fenomeni yarýþýyormuþ önce kýzýn ismini bile duymamýþtým 
Pozitif,buna elanur demiþsiniz bildiðimiz survivor gizem 
Pozitif,tarafým belli miafitz 
Pozitif,üzümlü kekim 
Negatif,exatlon cringe bý program twitter gördüm direkt anladým izleyenler yaþýnýz kaç merak tim boþ insanlarsýnýz 
Pozitif,ka tanýmadýðýmýz fenomen varsa toplamýþsýnýz bitek hayrettini tanýyorum amk nen evdemi exatlon 
Pozitif,ulan walter neler getirebilirsin merakla izliyorum seni 
Pozitif,dizi filmlerdeki kadýn þiddetine tacizlerine rtük ün bir el atmasý lazým 
Pozitif,kadýna þiddete hayýr 
Pozitif,hayata karþý doðan bakýyorum nadir barýþ oluyorum 
Pozitif,doðrularý konuþalým 
Pozitif,türkiyenin tek tamamen türkçe koronavirüs canlý yayýnýna aþaðýdaki linkten ulaþabilirsiniz 
Negatif,kýzlarýn gün bakým yapmamasýyla çöküp çirkin olmalarý 
Pozitif,bunlar ayný kiþi mi aq 
Negatif,kaç yýldýr instagram kullanýyorum aq 
Pozitif,gündeme geri dönelim exatlon tarafýnýzý görelim bakalým 
Pozitif,harikasýn mükemmelsin efsanesin 
Pozitif,netflix fakiriyiz anlatsanýza nasil yeni yarýþma 
Pozitif,bunlar ayný kiþi olabilir arkadaþlar 
Pozitif,dilara mükemmeldi aksini dia eden kördür kendini parkur geliþtirdi yargý daðýttý aferin kýz sana 
Negatif,tamamýyla fuhuþ 
Pozitif,exatlon baþarýlý buldum özellikle netflix te olmasý süper olmuþ 
Pozitif,tatlýsýn canm 
Pozitif,sunun dikkat cekme cabasini gozumun onunden ceksin 
Pozitif,survivor parkurundan sonra exatlon parkuru gözümüzü gönlümüzü açtý 
Pozitif,koþarmýsýn gelip arkadan ittirelim mi 
Negatif,gayette çoðu kiþiyi tanýyoruz maðarada yaþýyosunuz amk twit altýna anan kardeþim 
Pozitif,fazla çökmüþ burada 
Pozitif,hadi bismillah ben basliyom 
Pozitif,direkt miafitz yapsaydýnýz smini tutardý program 
Pozitif,kusursuz 
Pozitif,ben izleyemiyorum benim netflix yok 
Pozitif,ikisi yarýþsa oyunu baþkasý kazanýr 
Pozitif,günde saati instagramda geçirip yarýþmadakileri tanýmam 
Pozitif,türkiye elraen delimine yi izlemek vardý 
Pozitif,exatlonun güçlüsü benim 
Pozitif,ben aþýrý eðleniyorum þuan 
Negatif,býrakýn artýk boþ þeyleri konuþmayý acun yeteri kadar zengin etmediniz mi exatlon önemli 
Pozitif,kýzlarýn hiçbirini tanýmýyorum dkfjdkfkdkfkkdkf 
Pozitif,erkeklerden urasý hayrettini doðaný tanýyorum sadece 
Pozitif,finalde acun ilýcalý yý unutmayýp yarý siyah tiþört giyen koca yürekli orkun 
Pozitif,yarýþmaya gidecek olursam ilerde tek isteðim elanur öyküden biraz hýzlý olmak elanur aþko atýþlarýn mükemmel bitiricilik yok 
